datum,stijl,bezetting,liturgie
2023-01-01,,,"Votum en zegengroet
Antwoordlied: Ps. 138: 1, 2 Nieuwe Psalmberijming
Geloofsbelijdenis
GKB 161:1-4 (Heer, U bent mijn leven de grond waarop ik sta)
Kindermoment
Gebed voor de opening van het Woord
Bijbellezing: Pred. 11:7-12:8
Preek
Antwoordlied: NLB 513:1-4 (God heeft het eerste woord)
Mededelingen en gebed
Collecte
Slotlied: NLB psalm 90a: 1, 3, 5, 6
Zegen"
2023-01-08,,,"Opening van de dienst
Lied: Jezus, wij verhogen U (Opw. 237)
Leefregel uit Matteüs 6 (Bergrede)
Schuldbelijdenis en genadeverkondiging
Lied: Psalm 145 (PvN) 
Bediening Heilige Doop aan Floor Elizabeth van Meeuwen (incl. lied 'Doop' van Sela)
(Kinder)lied: Here der heren, koning der koningen (Opw. 159)
Gebed voor de opening van het Woord
Bijbellezing: Matteüs 2,1-12
Preek
Lied: Licht van de wereld / kom laten wij aanbidden.
Voorbeden en collecte
Slotlied: Hoe groot zijt Gij (Opw. 407)
Zegen "
2023-01-15,,,"Opening van de dienst
Openingspsalm: 92:1,5,6
Geloofsbelijdenis
Lied: Father we love you (NLB 875)
Kinderen naar de chrisclub
Gebed voor de opening van het Woord - NLB 314
Bijbellezing: Matteus 7,28-8,13
Preek
Antwoordlied: NLB 868:1,2,5
Voorbeden
Aankondigingen en collecten
Slotlied: Psalm 67:1,2 (wisselzang en refrein)
Zegen"
2023-01-22,,,"Welkom
Moment van Stilte
Votum en Groet
Opwekking 623 Laat het huis gevuld zijn…
Schuldbelijdenis
Opwekking 811 Witter dan sneeuw
Genadeverkondiging
Gebed voor opening van Gods Woord
Inleiding op de Bijbellezing​​
Opwekking 462 Aan uw voeten Heer…
Aansteken lantaarn
Schriftlezing 1: Matteus 11: 25-30
Schriftlezing 2: Lucas 10: 38-42
Preek​​​​​
Luisterlied: You Say – Lauren Daigle​​
Aankondiging Alphacursus (Lineke, Eva en Coen)
Voorbedegebed
Collecte (The Mall Delft YfC)
De wet als wegzending
Slotlied: Opwekking 167 Samen in de naam van Jezus
Zegen"
2023-01-29,,,"Opening van de dienst
Openingslied: Maak muziek voor God de Vader (GKB 2016 231:1,2)
Geloofsbelijdenis
Kyrie en Gloria: U, Vader U aanbidden wij (NLB 302:2,3,4)
Kinderen gaan naar de chrisclub
Gebed voor de opening van het Woord
Bijbellezing: Matteüs 12,1-21
Preek
Psalm 72:1,2,7 (De Nieuwe Psalmberijming)
Voorbeden en collecten
Viering Heilig Avondmaal
Voorbereidingslied: Alles in allen zult Gij voor ons zijn (GKB 2016 182 in wisselzang) 
Dankzegging
Slotlied: GKB 2016 231:3,4
Zegen"
2023-02-05,,,"Opening van de dienst
Lied: 
U bent heilig (Opw. 609)
Geloofsbelijdenis zingend: 
Jezus alleen, in Christ alone
Kindermoment: 'Wie weet, wie jij echt bent?'
(kinder)Lied: 
Vader God, ik vraag me af (Opw 399)
Gebed voor de opening van het Woord
Bijbellezing: Matteüs 4,1-11
Preek: '
Geloof je, wie jij echt bent?
'
Lied: 
In U weet ik wie ik ben (Hillsong)
Mededelingen & voorbeden
Collecte: 
Witter dan Sneeuw (Psalm project 51)
Slotlied: The Blessing 
(Ellevation)
Zegen "
2023-02-12,,,"Opening van de dienst
Lied: Met open armen (Schrijvers voor Gerechtigheid)
Leefregel
Lied: Heer u bent mijn leven (geloofsbelijdenis)
Kinderen gaan naar de chrisclub
Gebed voor de opening van het Woord
Bijbellezing: Matteüs 12,22-32 en 43-50
Preek
Lied: Bouw uw Koninkrijk (Opwekking 769)
Voorbeden en lied: 'Heer, wees nabij, de aarde heeft gebeefd.' (wijze: 'Abide with me')
Collecten 
Slotlied: 'Laat ons samen een zijn' (Sela)
Zegen"
2023-02-19,,,"Opening van de dienst
Lied: 'Samen in de naam van Jezus'
Leefregel
Lied: 'Create in me a clean heart'
Kinderen gaan naar de chrisclub
Gebed voor de opening van het Woord
Bijbellezing: Matteüs 16,13-28
Preek
Lied: 'Aan uw voeten Heer' (Opw. 462)
Voorbeden 
Collecte
Slotlied: 'Ga met god en Hij zal met je zijn'
Zegen"
2023-02-26,,,"Welkom en opening van de dienst 
Psalm 91: 3,4 (DNP)
Geloofsbelijdenis: NLB 342
Gebed voor de opening van het Woord
Bijbellezingen:
Genesis 2,15-17 en 3,1-4
Romeinen 5,12-17
Zingen psalm 32:2 (DNP)
Matteüs 3,1-6; 13-17 en 4,1-11
Preek
NLB 536 (‘alles wat over ons geschreven is’)
Voorbeden
Collecte
Viering Heilig Avondmaal (tijdens viering, NLB 333 en NLB 833)
Dankzegging: Romeinen 5
Slotlied: ‘wij kiezen voor de vrijheid’
Zegen, gevolgd door gezongen ‘amen’"
2023-03-05,,,"Verander je mee? …. Waar ga jij van stralen?
Opening van de dienst
Lied: opwekking 334 Heer uw licht en uw liefde schijnen
Leefregel
Lied: Psalm 25: 2 en 3 (DNP)
Kinderen gaan naar de Chrisclub
Gebed
Schriftlezing: Marcus 9:2-10
Lied: Opwekking 689 Spreek o Heer 
Preek
Lied: meer en meer (Marcel en Lydia)
Voorbede
Collecte (collectelied: I speak Jesus )
Slotlied: Opwekking 354 Glorie aan God
Zegen"
2023-03-08,,,"Welkom en opening van de dienst
Psalm 141:1-2 (de nieuwe psalmberijming)
Gebed voor de opening van het Woord: NLB 314
Bijbellezing (1): Filippenzen 1,3-11
Gezang 38 (GK oud): Zoek eerst het koninkrijk van God
Bijbellezing (2): Matteüs 25,14-30
Overdenking 
NLB 864 (coupletten)
Gebeden (afgewisseld met NLB 367e: ‘Heer, onze God, wij bidden U, verhoor ons’)
Collecten
Psalm 36:2 (de nieuwe psalmberijming)
Zegen, gevolgd door gezongen amen.
Dit is mijn v"
2023-03-12,,,"Welkom en opening van de dienst
Psalm 121 (opw. 640)
Geloofsbelijdenis
Opw. 194 – U maakt ons één
Gebed voor de opening van het Woord
Bijbellezing: Joh. 4,1-42
Opw. 399 – Vader God ik vaag me af
Preek
Opw. 797 – Breng ons samen
Voorbeden en collecte
Slotlied: opw. 430 – Heer ik prijs uw grote naam
Zegen"
2023-03-19,,,"Welkom en opening van de dienst
Psalm 84 (opw. 715)
Leefregel
Psalm project 136
Gebed voor de opening van het Woord
Bijbellezing: Joh. 9: 1-41
Open the eyes of my heart Lord
Preek
Opw. 785 – Fundament
Voorbeden en collecte
Kindermoment bij het kruis
 Slotlied: 40dagen themalied
Zegen"
